u_2,u_3,u_6,P_g2_mw,P_g3_mw,P_g6_mw,P_s8_mw,P_load_total_mw,label,critical_real,critical_imag,slack_power_mw
0,1,1,0.0,12.531169828715619,31.39523370528294,93.751524165246,259.8238494204896,1,0.3043767311515234,2.9843317241247,127.13218332316856
0,1,1,0.0,19.35590892051032,31.4590151903261,94.84945070130587,242.776845843593,1,0.3965067359635571,2.7957885032136405,100.61345582439789
0,1,1,0.0,15.268371904750735,49.45316094599471,69.5768948457315,196.25541146101205,0,-0.1991888792645428,0.0,63.47435976145389
0,1,1,0.0,19.057554186227446,31.030941605522347,92.37063693879945,223.46077462197053,1,0.1366808639525326,2.8236447914727987,83.57372270315699
0,1,1,0.0,19.379591602010315,30.330244814791044,95.67282896432081,261.05050609245984,1,0.5005515334635326,2.849464356664125,120.32603073067025
0,1,1,0.0,10.67051638120258,35.68591725428511,93.8351628900731,254.65800614906485,1,0.30435390582896776,2.9439566583036085,119.01437837218165
0,1,1,0.0,42.51421675010933,38.22185973809146,78.33075210604092,298.65460070676596,0,-0.19843649835453342,0.0,145.38008246569993
0,1,1,0.0,19.919981879812028,32.66041844963934,93.81175308415308,305.499834097691,1,0.341655785908043,3.242175479352418,167.1366413032655
0,1,1,0.0,19.45738379959387,33.72873842872895,95.76083781793723,233.4387108615187,1,0.49166587659493693,2.6615242630401585,87.42553858689749
0,1,1,0.0,13.74766098975308,37.56619395273147,93.88484731976408,239.1171967885068,1,0.2939157909807497,2.8373368654698976,97.27899279695538
0,1,1,0.0,25.44475974713299,38.6560786381518,13.981764641046146,187.1524059311091,0,-0.19999637987611885,0.0,112.27280583426
0,1,1,0.0,17.539931446854478,35.64499949580922,94.6875625918328,286.6494643865878,1,0.40550650855714965,3.0723387447237336,145.1442850968766
0,1,1,0.0,12.301061624910648,32.3377292824504,93.11163453152618,219.75281231236985,1,0.22586701734093578,2.7640399034739387,84.67897112952012
0,1,1,0.0,17.606909178484006,33.741815862451276,93.29275545151813,264.36439671814856,1,0.2327463649174022,3.0261276061300317,124.54526130112313
0,1,1,0.0,17.462820054803963,32.12840300172355,69.71332381926338,280.4900924612411,0,-0.19892920513799184,0.0,168.23147028563136
0,1,1,0.0,12.963646029368835,36.36041176851965,92.13630627157038,233.22769357338834,1,0.11277850670146738,2.8976241282277,94.91319739572947
0,1,1,0.0,15.779583628558767,32.53418527063009,93.39285960762155,260.77374245469423,1,0.2509815232157997,3.003724363911107,123.833458685409
0,1,1,0.0,19.697246741407664,32.023619581736135,93.01419257067637,205.84433932582485,1,0.21254454525841687,2.6729449190588555,62.943482710468714
0,1,1,0.0,49.65995838110324,35.73189840930808,60.5292274488817,311.9229159409887,0,-0.19914920838441916,0.0,173.59901260349994
0,1,1,0.0,19.50067855762026,30.423498290568965,94.08473627530088,259.66711366053687,1,0.32090250726590613,2.9533162135546855,120.2136801763378
0,1,1,0.0,10.352367012260013,35.50057168519003,92.30354840508538,206.13702821685803,1,0.15072857102150297,2.717527600519409,70.08671974151791
0,1,1,0.0,13.332719162204466,30.704712584961705,92.12343935995158,303.3712627202381,1,0.19813142347015755,3.3486256314519167,175.83361842980756
0,1,1,0.0,19.800689905833178,49.2149927811088,89.76901729249698,264.3138871093735,0,-0.18342716913927903,3.137406328302605,109.52768001551331
0,1,1,0.0,10.932027713689891,33.180508452638115,92.11173020063077,208.3798166219089,1,0.13016221046316895,2.7433434742214033,74.3862605737496
0,1,1,0.0,10.254341235830003,31.261636789677286,94.53285816468164,192.44143855630162,1,0.387965711653671,2.474012111159497,58.15625396066147
0,1,1,0.0,11.557630757480078,39.02807983038033,93.34180969412289,223.65484721036623,1,0.24337782541000347,2.772304834801561,82.39836058768132
0,1,1,0.0,13.4615788160025,45.91861043894299,67.6377240456614,252.3961644643546,0,-0.19908624130982686,0.0,129.89683701332876
0,1,1,0.0,16.17912841884452,31.003806924039253,93.04122426732013,257.29636425950963,1,0.213742048726639,3.00316960292925,121.66298747192448
0,1,1,0.0,19.522319384229334,38.17131942078371,94.5629054344419,248.59582964973072,1,0.35357081908564403,2.8460725915878045,99.86916539370823
0,1,1,0.0,10.15132176737622,38.90716267545389,92.2674163815623,196.28525865151417,1,0.1542462281247834,2.6510179697781187,56.661945187021104
0,1,1,0.0,37.722869537537974,46.24287961891775,78.65506638676204,239.68168102666496,0,-0.1986788315181984,0.0,79.25100553783362
0,1,1,0.0,11.770557776669804,30.353022165799054,95.40551844073917,310.1865534948482,1,0.6039254623038364,3.19074848866351,182.09975791713487
0,1,1,0.0,12.441355047839215,38.66076327609067,93.61012366785015,220.74855946387902,1,0.27157435320150786,2.736469982376284,78.55050643508538
0,1,1,0.0,15.051543371183527,30.081681817214637,93.77085787683554,205.7442678831829,1,0.297495216344864,2.627105986515899,68.8981027548673
0,1,1,0.0,38.49828774320707,40.051427593913175,86.88526299320797,299.3081201809133,0,-0.1975620134231833,0.0,139.5774725955461
0,1,1,0.0,13.167589297500848,32.8038380569708,95.75652153498322,246.60655240868607,1,0.5115070048046026,2.754218324976474,108.89832901463328
0,1,1,0.0,10.965155263239785,30.458851310419487,95.96170209664828,256.69534228811125,1,0.5563729521321901,2.8076608526096885,124.23620446410327
0,1,1,0.0,10.544929731938405,35.11255448371134,94.01641801196558,237.3977561281911,1,0.3200832403111934,2.8235526832413873,101.27264554289768
0,1,1,0.0,48.051215940361594,48.975440614676764,12.49676782737964,199.32395263595913,0,-0.19999278877951338,0.0,92.48662553286636
0,1,1,0.0,14.074886057804838,38.340264711732345,94.49501038053342,276.91779976666714,1,0.3758129308859032,3.0290898466059275,135.72585548220687
0,1,1,0.0,16.984842578956496,31.943396157562837,93.88436591933487,309.84237883040896,1,0.382010183433843,3.275611058920317,175.80713554940596
0,1,1,0.0,15.390358575151671,30.569488211189057,93.71511931940215,267.58105094476053,1,0.29980642790872214,3.031092748601647,133.28391088778469
0,1,1,0.0,25.259103167154414,40.07380033322658,29.583681584279166,267.11663738604875,0,-0.19978339313076837,0.0,179.87740266668203
0,1,1,0.0,11.730861554214489,39.06652023902492,95.84032582048752,245.12960867431772,1,0.5124723959098479,2.7336243506951954,102.24450070315376
